1. src: grub-core/osdep/unix/getroot.c:384, sink: grub-core/osdep/unix/getroot.c:458, score: 0.408248, bug_type: "BufferOverflow."
2. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1269, score: 0.305205, bug_type: "BufferOverflow."
3. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1269, score: 0.305205, bug_type: "IntUnderflow."
4. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1447, score: 0.261605, bug_type: "BufferOverflow."
5. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1447, score: 0.261605, bug_type: "IntUnderflow."
6. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1583, score: 0.257434, bug_type: "BufferOverflow."
7. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1585, score: 0.257434, bug_type: "BufferOverflow."
8. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1607, score: 0.257434, bug_type: "BufferOverflow."
9. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1609, score: 0.257434, bug_type: "BufferOverflow."
10. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1583, score: 0.257434, bug_type: "IntUnderflow."
11. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1585, score: 0.257434, bug_type: "IntUnderflow."
12. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1607, score: 0.257434, bug_type: "IntUnderflow."
13. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1609, score: 0.257434, bug_type: "IntUnderflow."
14. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1268, score: 0.233002, bug_type: "BufferOverflow."
15. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1452, score: 0.233002, bug_type: "BufferOverflow."
16. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1482, score: 0.233002, bug_type: "BufferOverflow."
17. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1623, score: 0.233002, bug_type: "BufferOverflow."
18. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1720, score: 0.233002, bug_type: "BufferOverflow."
19. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1268, score: 0.233002, bug_type: "IntUnderflow."
20. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1452, score: 0.233002, bug_type: "IntUnderflow."
21. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1482, score: 0.233002, bug_type: "IntUnderflow."
22. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1623, score: 0.233002, bug_type: "IntUnderflow."
23. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1720, score: 0.233002, bug_type: "IntUnderflow."
24. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:769, score: 0.185369, bug_type: "BufferOverflow."
25. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1115, score: 0.185369, bug_type: "BufferOverflow."
26. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:769, score: 0.185369, bug_type: "IntUnderflow."
27. src: grub-core/kern/emu/misc.c:212, sink: util/mkimage.c:1115, score: 0.185369, bug_type: "IntUnderflow."
